2025-10-25 22:40:16,415 | INFO | golden_backtest | #0001 🎯 SELL @ $3363.40 | P&L: $1.58 | Balance: $101.58 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:32.6✅ ADX:41.9✅
2025-10-25 22:40:17,991 | INFO | golden_backtest | #0119 🎯 SELL @ $3343.80 | P&L: $1.64 | Balance: $327.28 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:46.0✅ ADX:54.1✅
2025-10-25 22:40:18,029 | INFO | golden_backtest | #0120 🎯 SELL @ $3338.80 | P&L: $1.58 | Balance: $328.86 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:47.8✅ ADX:23.9✅
2025-10-25 22:40:18,040 | INFO | golden_backtest | #0121 🎯 BUY @ $3352.90 | P&L: $2.29 | Balance: $331.15 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:62.2✅ ADX:26.9✅
2025-10-25 22:40:18,044 | INFO | golden_backtest | #0122 🎯 BUY @ $3358.00 | P&L: $1.86 | Balance: $333.02 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:65.6✅ ADX:28.6✅
2025-10-25 22:40:18,048 | INFO | golden_backtest | #0123 🎯 BUY @ $3357.20 | P&L: $1.60 | Balance: $334.62 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:63.3✅ ADX:30.8✅
2025-10-25 22:40:18,052 | INFO | golden_backtest | #0124 🎯 BUY @ $3360.70 | P&L: $2.35 | Balance: $336.96 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:65.8✅ ADX:34.6✅
2025-10-25 22:40:18,056 | INFO | golden_backtest | #0125 🎯 BUY @ $3366.60 | P&L: $2.00 | Balance: $338.96 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:67.3✅ ADX:37.1✅
2025-10-25 22:40:18,060 | INFO | golden_backtest | #0126 🎯 BUY @ $3362.00 | P&L: $2.11 | Balance: $341.08 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:65.9✅ ADX:38.9✅
2025-10-25 22:40:18,064 | INFO | golden_backtest | #0127 🎯 BUY @ $3361.50 | P&L: $2.29 | Balance: $343.36 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:65.8✅ ADX:41.2✅
2025-10-25 22:40:18,067 | INFO | golden_backtest | #0128 🎯 BUY @ $3360.40 | P&L: $2.06 | Balance: $345.42 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:67.2✅ ADX:44.3✅
2025-10-25 22:40:18,071 | INFO | golden_backtest | #0129 🎯 BUY @ $3360.00 | P&L: $1.70 | Balance: $347.12 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:66.1✅ ADX:46.5✅
2025-10-25 22:40:18,075 | INFO | golden_backtest | #0130 🎯 BUY @ $3358.50 | P&L: $1.73 | Balance: $348.85 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:67.8✅ ADX:46.5✅
2025-10-25 22:40:18,079 | INFO | golden_backtest | #0131 🎯 BUY @ $3357.40 | P&L: $1.85 | Balance: $350.71 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:65.2✅ ADX:46.6✅
2025-10-25 22:40:18,086 | INFO | golden_backtest | #0132 🎯 BUY @ $3354.00 | P&L: $2.39 | Balance: $353.10 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:65.8✅ ADX:47.4✅
2025-10-25 22:40:18,090 | INFO | golden_backtest | #0133 🎯 BUY @ $3355.50 | P&L: $1.89 | Balance: $354.99 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:59.4✅ ADX:48.9✅
2025-10-25 22:40:18,094 | INFO | golden_backtest | #0134 🎯 BUY @ $3354.30 | P&L: $1.80 | Balance: $356.79 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:47.6✅ ADX:47.3✅
2025-10-25 22:40:18,098 | INFO | golden_backtest | #0135 🎯 BUY @ $3355.20 | P&L: $2.39 | Balance: $359.18 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:53.7✅ ADX:46.0✅
2025-10-25 22:40:18,102 | INFO | golden_backtest | #0136 🎯 BUY @ $3358.40 | P&L: $1.94 | Balance: $361.12 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:50.7✅ ADX:44.1✅
2025-10-25 22:40:18,106 | INFO | golden_backtest | #0137 🎯 BUY @ $3362.80 | P&L: $1.59 | Balance: $362.71 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:58.4✅ ADX:43.2✅
2025-10-25 22:40:18,110 | INFO | golden_backtest | #0138 🎯 BUY @ $3360.50 | P&L: $2.20 | Balance: $364.91 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:49.7✅ ADX:40.6✅
2025-10-25 22:40:18,118 | INFO | golden_backtest | #0139 🎯 BUY @ $3364.10 | P&L: $2.06 | Balance: $366.97 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:54.2✅ ADX:34.4✅
2025-10-25 22:40:18,122 | INFO | golden_backtest | #0140 🎯 BUY @ $3374.00 | P&L: $2.33 | Balance: $369.30 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:68.1✅ ADX:33.8✅
2025-10-25 22:40:18,130 | INFO | golden_backtest | #0141 🎯 BUY @ $3372.10 | P&L: $1.90 | Balance: $371.20 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:65.9✅ ADX:32.1✅
2025-10-25 22:40:18,133 | INFO | golden_backtest | #0142 🎯 BUY @ $3373.50 | P&L: $1.94 | Balance: $373.15 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:69.7✅ ADX:30.8✅
2025-10-25 22:40:18,199 | INFO | golden_backtest | #0143 🎯 BUY @ $3405.70 | P&L: $1.66 | Balance: $374.80 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:69.2✅ ADX:73.9✅
2025-10-25 22:40:18,203 | INFO | golden_backtest | #0144 🎯 BUY @ $3405.60 | P&L: $1.67 | Balance: $376.47 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:60.9✅ ADX:70.3✅
2025-10-25 22:40:18,207 | INFO | golden_backtest | #0145 🎯 BUY @ $3404.50 | P&L: $2.02 | Balance: $378.49 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:54.3✅ ADX:65.1✅
2025-10-25 22:40:18,223 | INFO | golden_backtest | #0146 🎯 BUY @ $3400.90 | P&L: $2.36 | Balance: $380.85 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:40.1✅ ADX:51.8✅
2025-10-25 22:40:18,239 | INFO | golden_backtest | #0147 🎯 BUY @ $3419.30 | P&L: $2.16 | Balance: $383.00 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:55.7✅ ADX:37.4✅
2025-10-25 22:40:18,243 | INFO | golden_backtest | #0148 🎯 BUY @ $3423.10 | P&L: $1.51 | Balance: $384.51 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:60.5✅ ADX:34.4✅
2025-10-25 22:40:18,294 | INFO | golden_backtest | #0149 🎯 BUY @ $3437.50 | P&L: $1.66 | Balance: $386.18 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:68.1✅ ADX:62.8✅
2025-10-25 22:40:18,298 | INFO | golden_backtest | #0150 🎯 BUY @ $3436.70 | P&L: $1.52 | Balance: $387.69 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:64.3✅ ADX:62.4✅
2025-10-25 22:40:18,302 | INFO | golden_backtest | #0151 🎯 BUY @ $3434.00 | P&L: $1.85 | Balance: $389.55 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:41.0✅ ADX:59.4✅
2025-10-25 22:40:18,305 | INFO | golden_backtest | #0152 🎯 BUY @ $3438.00 | P&L: $1.75 | Balance: $391.30 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:47.7✅ ADX:55.6✅
2025-10-25 22:40:18,313 | INFO | golden_backtest | #0153 🎯 BUY @ $3440.30 | P&L: $2.15 | Balance: $393.45 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:46.8✅ ADX:46.9✅
2025-10-25 22:40:18,317 | INFO | golden_backtest | #0154 🎯 BUY @ $3444.20 | P&L: $1.61 | Balance: $395.06 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:52.5✅ ADX:43.4✅
2025-10-25 22:40:18,321 | INFO | golden_backtest | #0155 🎯 BUY @ $3435.20 | P&L: $2.03 | Balance: $397.09 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:40.8✅ ADX:38.6✅
2025-10-25 22:40:18,325 | INFO | golden_backtest | #0156 🎯 BUY @ $3440.50 | P&L: $1.49 | Balance: $398.57 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:46.7✅ ADX:33.7✅
2025-10-25 22:40:18,329 | INFO | golden_backtest | #0157 🎯 BUY @ $3429.90 | P&L: $2.27 | Balance: $400.84 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:40.2✅ ADX:28.9✅
2025-10-25 22:40:18,531 | INFO | golden_backtest | #0158 🎯 SELL @ $3339.20 | P&L: $1.67 | Balance: $402.52 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:30.2✅ ADX:67.9✅
2025-10-25 22:40:18,542 | INFO | golden_backtest | #0159 🎯 SELL @ $3331.50 | P&L: $2.24 | Balance: $404.76 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:33.4✅ ADX:64.3✅
2025-10-25 22:40:18,546 | INFO | golden_backtest | #0160 🎯 SELL @ $3335.50 | P&L: $1.89 | Balance: $406.64 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:37.6✅ ADX:61.4✅
2025-10-25 22:40:18,550 | INFO | golden_backtest | #0161 🎯 SELL @ $3342.30 | P&L: $1.57 | Balance: $408.21 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:48.2✅ ADX:56.9✅
2025-10-25 22:40:18,554 | INFO | golden_backtest | #0162 🎯 SELL @ $3339.60 | P&L: $1.67 | Balance: $409.88 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:47.7✅ ADX:52.0✅
2025-10-25 22:40:18,558 | INFO | golden_backtest | #0163 🎯 SELL @ $3343.30 | P&L: $1.98 | Balance: $411.86 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:51.2✅ ADX:46.8✅
2025-10-25 22:40:18,562 | INFO | golden_backtest | #0164 🎯 SELL @ $3339.90 | P&L: $1.95 | Balance: $413.81 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:45.4✅ ADX:42.7✅
2025-10-25 22:40:18,566 | INFO | golden_backtest | #0165 🎯 SELL @ $3334.60 | P&L: $1.74 | Balance: $415.55 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:51.5✅ ADX:36.9✅
2025-10-25 22:40:18,570 | INFO | golden_backtest | #0166 🎯 SELL @ $3335.10 | P&L: $1.97 | Balance: $417.52 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:57.4✅ ADX:31.4✅
2025-10-25 22:40:18,573 | INFO | golden_backtest | #0167 🎯 SELL @ $3337.70 | P&L: $1.70 | Balance: $419.22 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:58.0✅ ADX:26.3✅
2025-10-25 22:40:18,577 | INFO | golden_backtest | #0168 🎯 SELL @ $3336.10 | P&L: $2.02 | Balance: $421.24 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:49.4✅ ADX:22.4✅
2025-10-25 22:40:18,597 | INFO | golden_backtest | #0169 🎯 SELL @ $3314.10 | P&L: $1.73 | Balance: $422.98 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:39.0✅ ADX:20.6✅
2025-10-25 22:40:18,601 | INFO | golden_backtest | #0170 🎯 SELL @ $3311.30 | P&L: $1.58 | Balance: $424.56 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:34.5✅ ADX:22.1✅
2025-10-25 22:40:18,608 | INFO | golden_backtest | #0171 🎯 SELL @ $3312.50 | P&L: $1.70 | Balance: $426.26 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:31.5✅ ADX:31.2✅
2025-10-25 22:40:18,612 | INFO | golden_backtest | #0172 🎯 SELL @ $3316.50 | P&L: $1.85 | Balance: $428.11 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:31.7✅ ADX:35.4✅
2025-10-25 22:40:18,616 | INFO | golden_backtest | #0173 🎯 SELL @ $3314.00 | P&L: $2.24 | Balance: $430.34 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:32.1✅ ADX:39.2✅
2025-10-25 22:40:18,620 | INFO | golden_backtest | #0174 🎯 SELL @ $3311.50 | P&L: $2.05 | Balance: $432.40 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:33.4✅ ADX:43.8✅
2025-10-25 22:40:18,624 | INFO | golden_backtest | #0175 🎯 SELL @ $3310.50 | P&L: $2.18 | Balance: $434.58 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:32.5✅ ADX:47.8✅
2025-10-25 22:40:18,632 | INFO | golden_backtest | #0176 🎯 SELL @ $3316.70 | P&L: $1.94 | Balance: $436.52 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:37.0✅ ADX:55.3✅
2025-10-25 22:40:18,636 | INFO | golden_backtest | #0177 🎯 SELL @ $3317.20 | P&L: $2.35 | Balance: $438.87 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:37.4✅ ADX:58.1✅
2025-10-25 22:40:18,640 | INFO | golden_backtest | #0178 🎯 SELL @ $3311.10 | P&L: $2.05 | Balance: $440.92 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:38.4✅ ADX:59.4✅
2025-10-25 22:40:18,651 | INFO | golden_backtest | #0179 🎯 SELL @ $3314.70 | P&L: $2.27 | Balance: $443.19 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:50.7✅ ADX:49.9✅
2025-10-25 22:40:18,655 | INFO | golden_backtest | #0180 🎯 SELL @ $3315.60 | P&L: $2.27 | Balance: $445.46 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:55.4✅ ADX:47.2✅
2025-10-25 22:40:18,667 | INFO | golden_backtest | #0181 🎯 SELL @ $3320.40 | P&L: $1.65 | Balance: $447.10 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:54.4✅ ADX:34.7✅
2025-10-25 22:40:18,671 | INFO | golden_backtest | #0182 🎯 SELL @ $3313.40 | P&L: $1.93 | Balance: $449.03 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:49.4✅ ADX:31.0✅
2025-10-25 22:40:18,675 | INFO | golden_backtest | #0183 🎯 SELL @ $3321.60 | P&L: $1.71 | Balance: $450.74 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:59.3✅ ADX:26.5✅
2025-10-25 22:40:18,679 | INFO | golden_backtest | #0184 🎯 SELL @ $3315.40 | P&L: $1.48 | Balance: $452.22 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:54.1✅ ADX:22.3✅
2025-10-25 22:40:18,997 | INFO | golden_backtest | #0185 🎯 BUY @ $3412.50 | P&L: $1.72 | Balance: $453.94 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:68.4✅ ADX:67.4✅
2025-10-25 22:40:19,001 | INFO | golden_backtest | #0186 🎯 BUY @ $3410.70 | P&L: $1.61 | Balance: $455.55 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:65.4✅ ADX:63.0✅
2025-10-25 22:40:19,005 | INFO | golden_backtest | #0187 🎯 BUY @ $3409.20 | P&L: $2.46 | Balance: $458.01 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:60.5✅ ADX:58.1✅
2025-10-25 22:40:19,009 | INFO | golden_backtest | #0188 🎯 BUY @ $3415.30 | P&L: $1.97 | Balance: $459.98 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:63.5✅ ADX:52.3✅
2025-10-25 22:40:19,013 | INFO | golden_backtest | #0189 🎯 BUY @ $3408.60 | P&L: $1.86 | Balance: $461.84 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:57.8✅ ADX:47.2✅
2025-10-25 22:40:19,017 | INFO | golden_backtest | #0190 🎯 BUY @ $3411.50 | P&L: $1.47 | Balance: $463.31 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:59.6✅ ADX:42.1✅
2025-10-25 22:40:19,021 | INFO | golden_backtest | #0191 🎯 BUY @ $3411.00 | P&L: $1.56 | Balance: $464.86 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:59.0✅ ADX:36.9✅
2025-10-25 22:40:19,025 | INFO | golden_backtest | #0192 🎯 BUY @ $3410.40 | P&L: $1.89 | Balance: $466.75 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:50.3✅ ADX:33.4✅
2025-10-25 22:40:19,029 | INFO | golden_backtest | #0193 🎯 BUY @ $3424.00 | P&L: $2.29 | Balance: $469.04 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:56.9✅ ADX:28.0✅
2025-10-25 22:40:19,033 | INFO | golden_backtest | #0194 🎯 BUY @ $3420.60 | P&L: $2.27 | Balance: $471.31 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:57.3✅ ADX:23.8✅
2025-10-25 22:40:19,037 | INFO | golden_backtest | #0195 🎯 BUY @ $3437.00 | P&L: $1.72 | Balance: $473.04 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:65.5✅ ADX:21.3✅
2025-10-25 22:40:19,041 | INFO | golden_backtest | #0196 🎯 BUY @ $3427.90 | P&L: $1.63 | Balance: $474.66 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:66.5✅ ADX:20.3✅
2025-10-25 22:40:19,045 | INFO | golden_backtest | #0197 🎯 BUY @ $3428.40 | P&L: $2.30 | Balance: $476.96 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:66.5✅ ADX:20.8✅
2025-10-25 22:40:19,049 | INFO | golden_backtest | #0198 🎯 BUY @ $3424.70 | P&L: $2.04 | Balance: $479.00 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:62.6✅ ADX:21.2✅
2025-10-25 22:40:19,053 | INFO | golden_backtest | #0199 🎯 BUY @ $3428.20 | P&L: $2.17 | Balance: $481.17 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:61.2✅ ADX:23.7✅
2025-10-25 22:40:19,057 | INFO | golden_backtest | #0200 🎯 BUY @ $3430.40 | P&L: $2.40 | Balance: $483.56 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:63.9✅ ADX:27.5✅
2025-10-25 22:40:19,061 | INFO | golden_backtest | #0201 🎯 BUY @ $3430.50 | P&L: $2.04 | Balance: $485.60 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:65.4✅ ADX:32.2✅
2025-10-25 22:40:19,065 | INFO | golden_backtest | #0202 🎯 BUY @ $3428.60 | P&L: $2.01 | Balance: $487.61 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:60.2✅ ADX:36.8✅
2025-10-25 22:40:19,069 | INFO | golden_backtest | #0203 🎯 BUY @ $3429.20 | P&L: $1.58 | Balance: $489.20 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:67.5✅ ADX:41.3✅
2025-10-25 22:40:19,072 | INFO | golden_backtest | #0204 🎯 BUY @ $3431.50 | P&L: $1.93 | Balance: $491.12 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:67.1✅ ADX:45.9✅
2025-10-25 22:40:19,076 | INFO | golden_backtest | #0205 🎯 BUY @ $3433.60 | P&L: $1.77 | Balance: $492.90 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:68.8✅ ADX:50.6✅
2025-10-25 22:40:19,080 | INFO | golden_backtest | #0206 🎯 BUY @ $3433.10 | P&L: $2.09 | Balance: $494.98 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:68.9✅ ADX:54.7✅
2025-10-25 22:40:19,084 | INFO | golden_backtest | #0207 🎯 BUY @ $3428.10 | P&L: $2.43 | Balance: $497.41 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:54.0✅ ADX:58.7✅
2025-10-25 22:40:19,088 | INFO | golden_backtest | #0208 🎯 BUY @ $3427.60 | P&L: $1.90 | Balance: $499.31 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:57.2✅ ADX:61.5✅
2025-10-25 22:40:19,096 | INFO | golden_backtest | #0209 🎯 BUY @ $3427.60 | P&L: $2.08 | Balance: $501.39 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:49.5✅ ADX:56.4✅
2025-10-25 22:40:19,104 | INFO | golden_backtest | #0210 🎯 BUY @ $3428.30 | P&L: $1.63 | Balance: $503.03 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:54.6✅ ADX:49.7✅
2025-10-25 22:40:19,108 | INFO | golden_backtest | #0211 🎯 BUY @ $3420.60 | P&L: $2.44 | Balance: $505.46 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:41.2✅ ADX:46.9✅
2025-10-25 22:40:19,124 | INFO | golden_backtest | #0212 🎯 BUY @ $3420.20 | P&L: $1.73 | Balance: $507.19 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:43.5✅ ADX:42.5✅
2025-10-25 22:40:19,128 | INFO | golden_backtest | #0213 🎯 BUY @ $3428.20 | P&L: $1.56 | Balance: $508.76 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:47.8✅ ADX:37.8✅
2025-10-25 22:40:19,132 | INFO | golden_backtest | #0214 🎯 BUY @ $3439.70 | P&L: $2.06 | Balance: $510.82 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:53.6✅ ADX:33.6✅
2025-10-25 22:40:19,136 | INFO | golden_backtest | #0215 🎯 BUY @ $3444.00 | P&L: $1.77 | Balance: $512.58 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:56.2✅ ADX:28.3✅
2025-10-25 22:40:19,140 | INFO | golden_backtest | #0216 🎯 BUY @ $3436.70 | P&L: $1.78 | Balance: $514.37 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:54.8✅ ADX:24.7✅
2025-10-25 22:40:19,144 | INFO | golden_backtest | #0217 🎯 BUY @ $3434.80 | P&L: $1.75 | Balance: $516.11 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:53.9✅ ADX:21.8✅
2025-10-25 22:40:19,148 | INFO | golden_backtest | #0218 🎯 BUY @ $3434.30 | P&L: $1.49 | Balance: $517.60 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:55.2✅ ADX:22.5✅
2025-10-25 22:40:19,152 | INFO | golden_backtest | #0219 🎯 BUY @ $3433.50 | P&L: $2.17 | Balance: $519.78 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:53.4✅ ADX:23.2✅
2025-10-25 22:40:19,156 | INFO | golden_backtest | #0220 🎯 BUY @ $3435.00 | P&L: $1.91 | Balance: $521.69 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:58.9✅ ADX:24.2✅
2025-10-25 22:40:19,160 | INFO | golden_backtest | #0221 🎯 BUY @ $3433.80 | P&L: $2.08 | Balance: $523.77 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:53.7✅ ADX:24.5✅
2025-10-25 22:40:19,164 | INFO | golden_backtest | #0222 🎯 BUY @ $3438.10 | P&L: $2.07 | Balance: $525.84 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:62.2✅ ADX:25.2✅
2025-10-25 22:40:19,167 | INFO | golden_backtest | #0223 🎯 BUY @ $3438.30 | P&L: $2.34 | Balance: $528.18 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:69.5✅ ADX:24.6✅
2025-10-25 22:40:19,171 | INFO | golden_backtest | #0224 🎯 BUY @ $3431.40 | P&L: $2.37 | Balance: $530.54 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:68.9✅ ADX:23.0✅
2025-10-25 22:40:19,179 | INFO | golden_backtest | #0225 🎯 BUY @ $3429.70 | P&L: $2.15 | Balance: $532.69 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:59.5✅ ADX:22.6✅
2025-10-25 22:40:19,183 | INFO | golden_backtest | #0226 🎯 BUY @ $3427.00 | P&L: $1.78 | Balance: $534.48 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:48.7✅ ADX:22.8✅
2025-10-25 22:40:19,222 | INFO | golden_backtest | #0227 🎯 BUY @ $3435.30 | P&L: $1.53 | Balance: $536.01 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:47.2✅ ADX:34.5✅
2025-10-25 22:40:19,226 | INFO | golden_backtest | #0228 🎯 BUY @ $3436.20 | P&L: $2.31 | Balance: $538.32 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:55.1✅ ADX:31.9✅
2025-10-25 22:40:19,230 | INFO | golden_backtest | #0229 🎯 BUY @ $3435.50 | P&L: $2.43 | Balance: $540.75 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:54.4✅ ADX:28.8✅
2025-10-25 22:40:19,234 | INFO | golden_backtest | #0230 🎯 BUY @ $3436.30 | P&L: $1.46 | Balance: $542.21 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:57.0✅ ADX:26.6✅
2025-10-25 22:40:19,238 | INFO | golden_backtest | #0231 🎯 BUY @ $3434.70 | P&L: $1.85 | Balance: $544.06 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:58.4✅ ADX:26.7✅
2025-10-25 22:40:19,242 | INFO | golden_backtest | #0232 🎯 BUY @ $3434.00 | P&L: $1.89 | Balance: $545.95 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:55.9✅ ADX:25.1✅
2025-10-25 22:40:19,246 | INFO | golden_backtest | #0233 🎯 BUY @ $3431.80 | P&L: $2.20 | Balance: $548.15 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:52.1✅ ADX:23.5✅
2025-10-25 22:40:19,250 | INFO | golden_backtest | #0234 🎯 BUY @ $3434.70 | P&L: $2.35 | Balance: $550.50 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:56.7✅ ADX:22.2✅
2025-10-25 22:40:19,277 | INFO | golden_backtest | #0235 🎯 BUY @ $3444.90 | P&L: $1.71 | Balance: $552.21 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:66.8✅ ADX:31.3✅
2025-10-25 22:40:19,289 | INFO | golden_backtest | #0236 🎯 BUY @ $3452.20 | P&L: $1.68 | Balance: $553.88 | Reason: Golden Trend BUY: EMA Stack✅ MACD+✅ RSI:61.8✅ ADX:40.1✅
